Event Id;Investigation Type;Accident Number;Event Date;Location;Country;Latitude;Longitude;Airport Code;Airport Name;Injury Severity;Aircraft Damage;Aircraft Category;Registration Number;Make;Model;Amateur Built;Number of Engines;Engine Type;FAR Description;Schedule;Purpose of Flight;Air Carrier;Total Fatal Injuries;Total Serious Injuries;Total Minor Injuries;Total Uninjured;Weather Condition;Broad Phase of Flight;Report Status;Publication Date   ;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200125X95855;Accident;ERA20FA086;01/25/2020;Senoia  GA;United States;33.290000;-84.540833;64GA;Big T Airport;Fatal(2);Destroyed;Airplane;UNREG;MUSTANG;II;Yes;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;2;N/A;N/A;N/A;IMC;STANDING;Preliminary;44106;N/A;N/A;N/A;N/A;N/A;  ;N/A;N/A
20200125X95019;Accident;ERA20FA085;01/25/2020;Lake City  FL;United States;30.156944;-82.669167;15FL;Cannon Creek Airpark;Fatal(1);Substantial;Airplane;N55455;Piper;PA32;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;1;N/A;N/A;N/A;VMC;TAKEOFF;Preliminary;02/19/2020;N/A;N/A;N/A;N/A;N/A; ;N/A;N/A
20200124X92932;Accident;WPR20FA079;01/24/2020;Payson  AZ;United States;34.158889;-111.493889;N/A;N/A;Fatal(1);Destroyed;Airplane;N3672K;Piper;PA28;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;1;2;N/A;N/A;VMC;MANEUVERING;Preliminary;02/26/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200124X45349;Accident;WPR20FA077;01/24/2020;Auburn  CA;United States;38.959444;-121.065833;N/A;N/A;Fatal(2);Destroyed;Airplane;N50249;Stinson;V77;No;N/A;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;2;1;N/A;N/A;VMC;CRUISE;Preliminary;44137;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200128X10818;Accident;GAA20WA110;01/24/2020;Iztapa  Guatemala;Guatemala;13.930278;-90.729445;N/A;N/A;Fatal(1);Substantial;Airplane;N540ZA;EXTRA;E54T;No;N/A;N/A;Non-U.S.  Non-Commercial;N/A;N/A;N/A;1;N/A;N/A;N/A;N/A;N/A;Foreign;N/A;N/A;N/A;N/A;N/A;N/A;N/A;  ;N/A
20200127X82825;Accident;CEN20LA066;01/24/2020;Charlotte  TX;United States;28.953611;-98.764722;N/A;N/A;Non-Fatal;Substantial;Helicopter;N8364Y;Robinson;R22;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;N/A;1;N/A;N/A;VMC;MANEUVERING;Preliminary;02/19/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200127X40235;Accident;WPR20WA082;01/23/2020;George  South Africa;South Africa;-33.922223;22.108889;N/A;N/A;Fatal(3);Substantial;Airplane;N/A;CESSNA;S550;No;N/A;N/A;Part 129: Foreign;N/A;N/A;N/A;3;N/A;N/A;N/A;N/A;MANEUVERING;Foreign;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200122X05239;Accident;WPR20FA072;01/22/2020;Corona  CA;United States;33.896111;-117.602222;AJO;Corona Municipal Airport;Fatal(4);Destroyed;Airplane;N36TT;Beech;B36TC;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;4;N/A;N/A;N/A;VMC;TAKEOFF;Preliminary;43953;N/A;N/A;N/A;N/A;N/A;  ;N/A;N/A
20200122X92043;Accident;WPR20CA074;01/22/2020;Jean  NV;United States;N/A;N/A;N/A;N/A;Unavailable;Substantial;N/A;N944KM;PIPER;PA-18 REPLICA;No;N/A;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Preliminary;01/27/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200122X92714;Accident;WPR20CA073;01/22/2020;Vacaville  CA;United States;38.373611;-121.956667;VCB;Nut Tree Airport;Non-Fatal;Substantial;Airplane;N14GC;Stearman;B75N1;No;N/A;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;1;N/A;VMC;LANDING;Factual;43953;N/A;N/A;N/A;N/A;N/A;  ;N/A;N/A
20200128X02229;Accident;CEN20LA068;01/22/2020;Minot  ND;United States;48.232223;-101.293333;2ND4;Trinity Health;Non-Fatal;Substantial;Helicopter;N947LH;Bell;407;No;1;Turbo Shaft;Part 91: General Aviation;N/A;Business;N/A;N/A;N/A;N/A;1;VMC;LANDING;Preliminary;43984;N/A;N/A;N/A;N/A;N/A;  ;N/A;N/A
20200122X70630;Accident;ERA20LA084;01/21/2020;Tallahassee  FL;United States;30.291944;-84.225000;N/A;N/A;Non-Fatal;Substantial;Airplane;N424WB;Grumman;AA5;No;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;N/A;1;1;N/A;VMC;CRUISE;Preliminary;02/29/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20200120X80146;Accident;WPR20FA067;01/20/2020;Jacksonville  TX;United States;31.905556;-95.086666;N/A;N/A;Fatal(1);Destroyed;Airplane;N4763X;Cessna;150;No;1;Reciprocating;Part 91: General Aviation;N/A;Aerial Observation;N/A;1;N/A;N/A;N/A;N/A;MANEUVERING;Preliminary;43892;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200121X60556;Accident;WPR20CA071;01/20/2020;Sun River  OR;United States;43.875556;-121.453333;S21;Sunriver;Non-Fatal;Substantial;Airplane;N73707;Cessna;172;No;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;N/A;2;VMC;N/A;Preliminary;02/19/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200119X92859;Accident;ERA20LA094;01/19/2020;Homestead  FL;United States;25.541666;-80.535833;N/A;N/A;Non-Fatal;Minor;Balloon;N970TC;Airborne America;AX9-140;No;N/A;N/A;Part 91: General Aviation;N/A;Aerial Observation;N/A;N/A;2;2;5;VMC;MANEUVERING;Preliminary;43833;N/A;N/A;N/A;N/A;N/A;  ;N/A;N/A
20200121X55025;N/A;WPR20CA070;01/18/2020;Gold Canyon  AZ;United States;N/A;N/A;na;N/A;Unavailable;Substantial;N/A;N260AZ;Powrachute;AIRWOLF;Yes;N/A;N/A;Part 91: General Aviation;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Preliminary;44106;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200119X92652;Accident;ERA20CA083;01/18/2020;Wauchula  FL;United States;27.515000;-81.880556;CHN;Wauchula Muni;Non-Fatal;Substantial;Airplane;N4283V;Denney;KITFOX;Yes;1;N/A;Part 91: General Aviation;N/A;Personal;N/A;N/A;N/A;1;N/A;VMC;N/A;Preliminary;02/13/2020;N/A;N/A;N/A;N/A;N/A;   ;N/A;N/A
20200117X62609;Accident;CEN20LA063;01/17/2020;Oakwood  OH;United States;41.136111;-84.441666;53OH;Charloe;Non-Fatal;Destroyed;Airplane;N4120;PIEL;CP301;Yes;1;Reciprocating;Part 91: General Aviation;N/A;Personal;N/A;N/A;1;N/A;N/A;VMC;TAKEOFF;Preliminary;01/27/2020;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A
